qa_id,doc_id,question,answer
qa_001,doc_001,What is the dancing plague of 1518?,"The dancing plague of 1518, or dance epidemic of 1518, was a case of dancing mania that occurred in Strasbourg"
qa_002,doc_001,How many people were affected by the dancing plague of 1518?,Somewhere between 50 and 400 people took to dancing for weeks.
qa_003,doc_002,How did the outbreak of the dancing plague in 1518 start?,The outbreak began in July 1518 when a woman known as Frau Troffea and her daughter Fräulein Emma Götz began to dance fervently and uncontrollably in a street in Strasbourg.
qa_004,doc_002,What cured the dancing plague of 1518?,"No one knew what caused this reaction, which meant no one understood how to remedy it. By early September, the outbreak began to subside."
qa_005,doc_003,How many people died during the dancing plague of 1518?,"Some sources claim that for a period the plague killed around fifteen people per day, but the sources of the city of Strasbourg at the time of the events did not mention the number of deaths, or even if there were fatalities. There do not appear to be any sources related to the events that make note of any fatalities. Ned Pennant-Rea also claims that the final death toll is not known, but if the claims of fifteen people dying per day were true then the toll could be ""into the hundreds""."
qa_006,doc_003,Did people really danced till they were dead?,Disagreement exists over whether people ultimately danced to death.
qa_007,doc_004,What are the modern theories about the cause of the dancing plage of 1518?,There are modern theories that say the dancing plague of 1518 could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness; while another modern theory believes the dancing plague of 1518 could have been brought on by food poisoning caused by the toxic and psychoactive chemical products of ergot fungi (ergotism)
qa_008,doc_004,Was the dancing plague a psychological illness?,"It could have been an example of fully developed cases of psychogenic movement disorder happening in mass hysteria or mass psychogenic illness, which involves many individuals suddenly exhibiting the same bizarre behavior."
qa_009,doc_005,Are there any fictional books about the Dancing Plague?,The book series A Collection of Utter Speculation released a title The Dancing Plague: A Collection of Utter Speculation in 2022. It is a fictional account of the events that happened in Strasbourg.
qa_010,doc_005,Are there any films or movies made about the Dancing Plague?,"The event inspired Jonathan Glazer's 2020 short film Strasbourg 1518 and inspired the music video short-film for Loreen and Ólafur Arnalds joint 2025 release of their songs ""In The Sound of Breathing"" and ""Opening"" under the name ""SAGES""."
