question,document
What was the dancing plague of 1518 in Strasbourg?,qa_001
Why is the 1518 dancing plague also called a dance epidemic?,qa_001
What kind of event was the dancing mania that happened in Strasbourg in 1518?,qa_001
Where did the dancing plague of 1518 take place?,qa_001
What happened in Strasbourg during the dancing plague of 1518?,qa_001
About how many people got caught up in the dancing plague of 1518?,qa_002
How many dancers were involved in the 1518 outbreak?,qa_002
Did the dancing plague affect just a few people or hundreds?,qa_002
Roughly how many people ended up dancing for weeks in 1518?,qa_002
What was the estimated number of people affected by the dancing plague?,qa_002
What kicked off the dancing plague of 1518 in Strasbourg?,qa_003
Who were the first people seen dancing uncontrollably in July 1518?,qa_003
Did the outbreak start with Frau Troffea and her daughter?,qa_003
Where did the first signs of the 1518 dancing plague happen?,qa_003
How did the dancing plague begin in Strasbourg in 1518?,qa_003
"What was actually causing the dancing plague of 1518, and why did people not know how to treat it?",qa_004
How did the dancing outbreak in 1518 finally come to an end?,qa_004
Did anyone at the time understand what they were dealing with during the 1518 dancing plague?,qa_004
Why was there no real cure for the dancing plague when it happened?,qa_004
What happened in early September that made the dancing plague start to fade away?,qa_004
"How many people died in the 1518 dancing plague, and is there any real death toll from Strasbourg records?",qa_005
"Did the dancing plague of 1518 actually kill about fifteen people a day, or is that just a claim?",qa_005
Why don't the city sources from Strasbourg say whether there were any fatalities during the dancing plague?,qa_005
"Is the final number of deaths from the dancing plague of 1518 known, or is it still uncertain?",qa_005
"If the reports of fifteen deaths per day were true, could the total death toll have reached the hundreds?",qa_005
"Did people actually dance until they died during the Dancing Plague of 1518, or is that still debated?",qa_006
Do historians agree that the dancers in 1518 literally danced themselves to death?,qa_006
"Was the 1518 dancing outbreak deadly, or are people unsure about whether anyone died from it?",qa_006
"Is there real proof that people in the Dancing Plague danced until death, or is it disputed?",qa_006
"Did the dancers in Strasbourg really keep going until they died, or do experts disagree on that?",qa_006
What are the modern ideas about what caused the Dancing Plague of 1518?,qa_007
Could mass hysteria or mass psychogenic illness explain the dancing plague in 1518?,qa_007
Was the 1518 dancing outbreak possibly a kind of psychogenic movement disorder spreading through a crowd?,qa_007
Did ergot poisoning from toxic fungi play a role in the Dancing Plague of 1518?,qa_007
Is there a theory that food poisoning from ergot fungus caused people to dance uncontrollably in 1518?,qa_007
Could the 1518 dancing plague have been a mass psychogenic illness rather than a real physical disease?,qa_008
Is there any chance the strange dancing was actually a psychogenic movement disorder spread through mass hysteria?,qa_008
How do historians explain the people who suddenly started dancing nonstop in 1518?,qa_008
Was the dancing plague more of a psychological outbreak than a medical one?,qa_008
Did the dancers in the 1518 plague show signs of a shared bizarre behavior caused by mass hysteria?,qa_008
"Did a fictional book or series ever come out about the Dancing Plague of Strasbourg, and when was it published?",qa_009
What is the title of the 2022 fictional book about the Strasbourg dancing outbreak?,qa_009
"Is The Dancing Plague: A Collection of Utter Speculation a real book, or is it just a made-up story?",qa_009
Which book series includes a fictional account of the events in Strasbourg?,qa_009
"Was there a novel based on the Dancing Plague, and does it follow the real events or just a fictional version?",qa_009
What movies or films were inspired by the Dancing Plague of 1518?,qa_010
Was Jonathan Glazer’s Strasbourg 1518 based on the dancing plague?,qa_010
Did the Dancing Plague inspire any short films recently?,qa_010
Is there a music video or short film connected to the Strasbourg dancing outbreak?,qa_010
What film and music video works were made from the Dancing Plague story?,qa_010
