question,answer_llm,answer_orig,document
"What was the dancing plague of 1518 in Strasbourg, and why is it also called a dance epidemic?","The dancing plague of 1518 was a case of dancing mania that occurred in Strasbourg. It is also called a dance epidemic because people were dancing uncontrollably, and the outbreak spread among a number of people like an epidemic.","The dancing plague of 1518, or dance epidemic of 1518, was a case of dancing mania that occurred in Strasbourg",qa_001
"Where did the 1518 dancing mania happen, and was it centered in Strasbourg?","The dancing mania of 1518 happened in **Strasbourg**, and **yes, it was centered there**.","The dancing plague of 1518, or dance epidemic of 1518, was a case of dancing mania that occurred in Strasbourg",qa_001
Was the dancing plague of 1518 actually a case of dancing mania in Strasbourg?,"Yes. According to the context, the dancing plague of 1518 was a case of dancing mania that occurred in Strasbourg.","The dancing plague of 1518, or dance epidemic of 1518, was a case of dancing mania that occurred in Strasbourg",qa_001
What happened in Strasbourg during the dance epidemic of 1518?,"In Strasbourg, the 1518 dance epidemic was a case of dancing mania. It began when Frau Troffea and her daughter started dancing uncontrollably in the street, and the outbreak later spread through the city.","The dancing plague of 1518, or dance epidemic of 1518, was a case of dancing mania that occurred in Strasbourg",qa_001
Why do people refer to the dancing plague of 1518 as the dance epidemic of 1518?,"People refer to it as the **dance epidemic of 1518** because it was an outbreak of **dancing mania** in Strasbourg in 1518, where **between 50 and 400 people** were affected and danced uncontrollably for weeks.","The dancing plague of 1518, or dance epidemic of 1518, was a case of dancing mania that occurred in Strasbourg",qa_001
How many people were involved in the Dancing Plague of 1518?,Somewhere between 50 and 400 people were involved.,Somewhere between 50 and 400 people took to dancing for weeks.,qa_002
Roughly how many folks were dancing during the 1518 plague?,Somewhere between **50 and 400 people** took to dancing for weeks.,Somewhere between 50 and 400 people took to dancing for weeks.,qa_002
Did the 1518 dancing outbreak affect just a few people or hundreds?,Hundreds. The context says somewhere between **50 and 400 people** took to dancing for weeks.,Somewhere between 50 and 400 people took to dancing for weeks.,qa_002
About how many people started dancing in the 1518 event?,About **2 people** started dancing in the 1518 event: **Frau Troffea and her daughter Fräulein Emma Götz**.,Somewhere between 50 and 400 people took to dancing for weeks.,qa_002
What was the estimated number of people caught up in the Dancing Plague of 1518?,The estimated number is not given in the context. I don't know.,Somewhere between 50 and 400 people took to dancing for weeks.,qa_002
